Author,Publishing Date,Text
[],10/14/2021,"Oct 14, 2021

(Bloomberg)

European buyers have not yet asked the Russian government to increase gas supplies, news service Tass reported, citing Deputy Prime Minister Alexander Novak.

“The market seems to consider that the renewal of the historical partnership Putin is asking for from Europeans — with a clarification on the role of gas in their energy mix — could take time to materialize to resolve the short-term problem they are facing,” Engie EnergyScan wrote in a report. European gas is also probably getting a boost from rising Asian coal prices, it said.

U.K. within-day contracts rose as much as 11.6% on fears that low wind power generation will tighten gas markets further. The U.K.’s wind power capacity is forecast to drop to 1,384 megawatts at 7 p.m. local time on Friday, its lowest level in more than four weeks. Crimped wind power generation is likely to boost Britain’s emissions and power markets as well as natural gas, consultant Inspired Energy wrote in a note.

But while next-month delivery prices are high, contracts for shipping in 2022 are trading at less than half or one-third, Harry Huang, head of gas, power and derivatives trading at PetroChina International, said at a virtual conference on Thursday. “That perfect storm will pass,” he added.

Persistently high prices are the result of surging liquefied natural gas prices last winter, Melissa Lindsay, founder and CEO of LNG brokerage Emstream, said at the same event. “People’s willingness to pay high prices right now for winter cargoes is because of what they saw last year,” she said."
[],10/14/2021,"About 56% of Canadians are uncomfortable with adjusting the bank’s mandate, according to the poll, conducted by Nanos Research Group for Bloomberg News. Only a third said they were comfortable with the idea.

Major central banks are grappling with how hot they should let their economies run as they begin to recover from the Covid-19 pandemic. Annual consumer price gains in Canada hit 4.1% in August, the highest since 2003, but policy makers led by Governor Tiff Macklem argue the surge is temporary.

The U.S. Federal Reserve last year gave itself leeway to tolerate periods of inflation above its 2% target. It adopted a policy, “flexible average inflation targeting,” with the explicit goal of having inflation run moderately above 2% for a time to make up for periods below that level.

Every five years, the Bank of Canada and the federal government negotiate the monetary policy framework, a process that must be completed by the end of 2021. The bank’s current mandate targets inflation of 2%, within a control range of 1% to 3% — but it’s been above the upper end of that range for five consecutive months.

Signing off on the bank’s new mandate is one of the first item’s on Finance Minister Chrystia Freeland’s desk after Trudeau’s government won re-election on Sept. 20. Rising prices became a key issue during the campaign, in which the prime minister’s incumbent Liberals were held to minority control of the legislature.

The timing of the mandate renewal poses challenges to Bank of Canada officials, who are winding down emergency monetary stimulus while also facing headwinds from supply-side disruptions that threaten to curb growth. Macklem said at a press conference last week that there are “good reasons” to believe increasing price pressures will be short-lived.

Justin Trudeau and Chrystia Freeland arrive for a photo opportunity before tabling the federal budget in the House of Commons in Ottawa on April 19, 2021.

The central bank will have to decide whether to tolerate the recent high inflation readings or tighten monetary policy sooner and risk slowing down growth. Markets have priced in two rate hikes from the Bank of Canada in the next year. Most economists expect the first one in the second half of 2022.

The latest Nanos survey echoes findings by a Bank of Canada report earlier this year, which indicated that most Canadians preferred the current 2% inflation-targeting framework over alternatives. The bank has studied several options including moving toward a dual mandate that considers labor market metrics or average-inflation targeting in addition to inflation.

The Fed, unlike the Bank of Canada, already has a second mandate to promote maximum sustainable employment. A Bank of Canada move toward inflation averaging would resemble the Fed’s move last year.

Nanos Research conducted the survey of more than 1,000 people from Sept. 30 to Oct. 3 via telephone and online polling. It is considered accurate to within 3.1 percentage points."
[],10/14/2021,"Recent developments in Atlantic Canada’s oil and gas sector are giving the region a boost, providing a more positive outlook as the industry moves out of recent challenging times.

First, giant Suncor Energy and its partners announced a decade-long extension to the life of the Terra Nova offshore project.

Then, the First Nations Major Projects Coalition and Miawpukek First Nation announced plans for the first-ever Indigenous equity participation in an Atlantic offshore project, LNG Newfoundland and Labrador.

“We are in a province of a great need for further economic stimulation and I believe this project can do a lot to help contribute towards an economic recovery for the province,” says Leo Power, president of LNG Newfoundland and Labrador.

“It’s tough today. We are still emerging from the downturn in the oil and gas industry but see much (brighter) days ahead. Thankfully the Terra Nova project is back on track and we are hoping for a positive announcement on West White Rose.”

Construction of the $2.2-billion West White Rose project was suspended last spring amid the COVID-19 pandemic. Operator Cenovus Energy and its partners are now reviewing the project and expect to announce a decision on whether to restart by mid-2022.

In the meantime, Charlene Johnson, CEO of the Newfoundland Offshore Industry Association (NOIA), says the Terra Nova extension will have a tremendous positive impact on the province and the region.

“This is excellent news for our province knowing that they will be in production for 10 more years, 70 million more barrels of oil,” she says.

“It roughly impacts about 1,000 people directly and indirectly. But the impacts go much deeper than that when you consider the thousands of people in the service and supply sector, when you look at the benefits in terms of taxes and royalties to the province.

“People were very uncertain about their future, whether or not they were going to have a job. As soon as this was announced people were back to work immediately. Having that certainty of disposable income also helped other aspects of the economy when you look at car sales and restaurants. I talked to folks who were holding off on waiting to see if they would purchase a vehicle or not.”

Johnson says that seeing major companies have confidence in the province’s energy sector is welcome relief.

“It’s been a tough 18-20 months for the folks in this industry,” she says. “I think the next couple of years are going to be busy.”

The Terra Nova project alone has potential to support more than 1,700 jobs during the extension phase and nearly 3,400 jobs annually during its 10 years of operation, according to an economic impact report NOIA published earlier this year.

The paused West White Rose project, which is 60 per cent complete, would add about $11 billion in future capital and operating expenses out to 2036, Johnson says.

“When that was being built there were upwards of 1,400 people on site and this is in a rural part of our province. When you look at impacts to hotels in the area, restaurants, and of course employment for all those people, it’s quite significant. So to see that get up and running would certainly inject a lot of more needed work and spinoffs here in the province,” she says.

“That’s a key one for us we’re watching closely and one I think will be the next good thing that we hear about.”

The First Nations Major Project Coalition and Miawpukek First Nation are looking even longer term. First LNG shipped to Europe from the $10 billion LNG Newfoundland and Labrador project is targeted for 2030.

The project is expected to generate 1,300 to 1,500 direct jobs at peak construction and 400 permanent direct jobs during operations, while meeting growing global demand for low-emissions natural gas and, potentially, clean hydrogen.

“Our inclusion in this project is historical, transformational, and an example of how the offshore energy industry, Canada, and Newfoundland and Labrador are truly embracing and giving effect to reconciliation,” Miawpukek First Nation Chief Misel Joe said in a statement."
[],,"NEW Product!___ XEC1 – Explosion-proof Electric Cabinet Convection Air Heater for Hazardous Locations

Model: XEC1

Approvals:

All Hazloc Heaters™ XEC1 ProTektor explosion-proof cabinet convection heaters are designed to meet U.S. and Canadian certification standards. The four cabinet sizes of XEC1 convection heaters are available in 119 single-phase and 76 three-phase model choices of voltage, heat output, and Division System temperature class code (T2B or T3A) combinations to meet your specific requirements. Factory built-in options and a selection of electrical enclosures are also available for added convenience and safety.

The flexibility of the XEC1 ProTektor design allows, at the time of factory ordering, for users to request that their electrical enclosure, plus any built-in options selected, be mounted on the right side (standard) or left side (option) of the sloped-top cabinet.

The XEC1 ProTektor series of industrial-grade convection air heaters are engineered to meet the most demanding requirements of industrial environments. The harsh operating conditions require heating equipment that is safe, reliable, and available when you need it. XEC1 convection heaters are designed for maximum heating performance and to provide primary or supplementary heating of people or equipment in areas that are classified as hazardous gas atmosphere locations.

XEC1 convection air heaters are suitable for a wide variety of applications that include, but are not limited to, petroleum refineries, gasoline storage and dispensing areas, hydrogen atmospheres, oil & gas wellhead buildings, petrochemical plants, sewage or wastewater treatment plants, battery storage areas, dry cleaning plants and hazardous material storage buildings.

The versatile XEC1 ProTektor heater incorporates high quality Incoloy® 800 tubular elements, an aluminum tube assembly with pressed radial-embossed aluminum plate fins, and O-rings on enclosures for IP66 & Type 4 ingress protection. The cabinet construction consists of a 14 GA galvanized steel back panel and 14 GA carbon steel with epoxy/polyester powder-coating on the front and side cabinet panels for added protection from corrosive atmospheres. With no exposed copper or brass they are also suitable for H²S environments. Mounting brackets are fabricated from 14 GA galvanized steel.

Download Brochure Download Manual

Product Resources"
[],12/8/2020,"Superior Products, Exceptional Service

Viking is a well established and respected provider of instrumentation and process control products for the Ontario and Alberta market. We service a wide range of industries including petrochemical refineries, analytical applications, emission monitoring, utilities, power generation, water and wastewater, manufacturing, and OEMs.

Viking has the capability of developing a product or system to meet your specifications or specific needs. Viking has Professional Engineers on staff that work with our manufacturers to help our customers specify the correct products for their application, thus improving their system performance, reducing maintenance and downtime which yields better returns.

We only promote and sell products from top quality manufacturers to ensure reliability, with a strong background in quality and service. Brand name products such as Parker Hannifin and Ashcroft represent the highest standards in the industry.

DOWNLOAD LINE CARD

Here at Viking Instrument & Control Inc., our customers come first and we make sure that we have the parts you need. If you can’t find what you’re looking for, give us a call and we’ll be happy to help you find what you’re looking for!

GET A QUOTE

Share This:

More News Articles"
[],,"Should imported Oil comply with the same carbon and tax regulations as Canadian produced oil?

Yes

No

Unsure

Cast your vote or see how others voted"
[],,"Should imported Oil comply with the same carbon and tax regulations as Canadian produced oil?

Yes

No

Unsure

Cast your vote or see how others voted"
[],,"Should imported Oil comply with the same carbon and tax regulations as Canadian produced oil?

Yes

No

Unsure

Cast your vote or see how others voted"
[],,"Should imported Oil comply with the same carbon and tax regulations as Canadian produced oil?

Yes

No

Unsure

Cast your vote or see how others voted"
[],,"Should imported Oil comply with the same carbon and tax regulations as Canadian produced oil?

Yes

No

Unsure

Cast your vote or see how others voted"
[],,"Should imported Oil comply with the same carbon and tax regulations as Canadian produced oil?

Yes

No

Unsure

Cast your vote or see how others voted"
[],,"Should imported Oil comply with the same carbon and tax regulations as Canadian produced oil?

Yes

No

Unsure

Cast your vote or see how others voted"
