Author,Publisher,Publishing Date,Text
Michael Liedtke And Jonathan Mattise,The Associated Press,11/28/2017,"Hundreds of world leaders, powerful politicians, billionaires, celebrities, religious leaders and drug dealers have been hiding their investments in mansions, exclusive beachfront property, yachts and other assets for the past quarter-century, according to a review of nearly 12 million files obtained from 14 firms located around the world.

The report released Sunday by the International Consortium of Investigative Journalists involved 600 journalists from 150 media outlets in 117 countries. It’s being dubbed the “ Pandora Papers” because the findings shed light on the previously hidden dealings of the elite and the corrupt, and how they have used offshore accounts to shield assets collectively worth trillions of dollars.

The more than 330 current and former politicians identified as beneficiaries of the secret accounts include Jordan’s King Abdullah II, former U.K. Prime Minister Tony Blair, Czech Republic Prime Minister Andrej Babis, Kenyan President Uhuru Kenyatta, Ecuador’s President Guillermo Lasso, and associates of both Pakistani Prime Minister Imran Khan and Russian President Vladimir Putin.

Story continues below advertisement

View image in full screen FILE – Former British Prime Minister Tony Blair is shown ahead of a meeting at the EU Charlemagne building in Brussels, in this Wednesday, Nov. 6, 2019, file photo. (Stephanie Lecocq/Pool via AP, File).

The billionaires called out in the report include Turkish construction mogul Erman Ilicak and Robert T. Brockman, the former CEO of software maker Reynolds & Reynolds.

Many of the accounts were designed to evade taxes and conceal assets for other shady reasons, according to the report.

“The new data leak must be a wake-up call,” said Sven Giegold, a Green party lawmaker in the European Parliament. “Global tax evasion fuels global inequality. We need to expand and sharpen the countermeasures now.”

Oxfam International, a British consortium of charities, applauded the Pandora Papers for exposing brazen examples of greed that deprived countries of tax revenue that could be used to finance programs and projects for the greater good.

0:28 Deutsche Bank denies it withheld info from authorities related to Panama Papers Deutsche Bank denies it withheld info from authorities related to Panama Papers – Nov 29, 2018

“This is where our missing hospitals are,” Oxfam said in a statement. “This is where the pay-packets sit of all the extra teachers and firefighters and public servants we need. Whenever a politician or business leader claims there is `no money’ to pay for climate damage and innovation, for more and better jobs, for a fair post-COVID recovery, for more overseas aid, they know where to look.”

Story continues below advertisement

The Pandora Papers are a follow-up to a similar project released in 2016 called the “Panama Papers” compiled by the same journalistic group.

The latest bombshell is even more expansive, porting through nearly 3 terabytes of data — the equivalent of roughly 750,000 photos on a smartphone — leaked from 14 different service providers doing business in 38 different jurisdictions in the world. The records date back to the 1970s, but most of the files span from 1996 to 2020.

In contrast, the Panama Papers culled through 2.6 terabytes of data leaked by one now-defunct law firm called Mossack Fonseca that was located in the country that inspired that project’s nickname.

Read more: CRA executes warrants across country related to Panama Papers

The latest investigation dug into accounts registered in familiar offshore havens, including the British Virgin Islands, Seychelles, Hong Kong and Belize. But some of the secret accounts were also scattered around in trusts set up in the U.S., including 81 in South Dakota and 37 in Florida.

Some of the initial findings released Sunday painted a sordid picture of the prominent people involved.

For instance, the investigation found advisers helped King Abdullah II of Jordan set up at least three dozen shell companies from 1995 to 2017, helping the monarch buy 14 homes worth more than $106 million in the U.S. and the U.K. One was a $23 million California ocean-view property bought in 2017 through a British Virgin Islands company. The advisers were identified as an English accountant in Switzerland and lawyers in the British Virgin Islands.

Story continues below advertisement

There was no immediate comment from Jordan’s Royal Palace.

The details are an embarrassing blow to Abdullah, whose government was engulfed in scandal this year when his half brother, former Crown Prince Hamzah, accused the “ruling system” of corruption and incompetence. The king claimed he was the victim of a “malicious plot,” placed his half brother under house arrest and put two former close aides on trial.

2:21 Panama Papers: Names of hundreds of Canadians released Panama Papers: Names of hundreds of Canadians released – May 9, 2016

U.K attorneys for Abdullah said he isn’t required to pay taxes under his country’s law and hasn’t misused public funds, adding that there are security and privacy reasons for him to have holdings through offshore companies, according to the report. The attorneys also said most of the companies and properties are not connected to the king or no longer exist, though they declined to provide details.

View image in full screen FILE – Jordan’s King Abdullah II speaks during a media conference prior to a meeting with NATO Secretary General Jens Stoltenberg at NATO headquarters in Brussels, in this Wednesday, May 5, 2021, file photo. (Johanna Geron, Pool via AP, File).

Blair, U.K. prime minister from 1997 to 2007, became the owner of an $8.8 million Victorian building in 2017 by buying a British Virgin Islands company that held the property, and the building now hosts the law firm of his wife, Cherie Blair, according to the the investigation. The two bought the company from the family of Bahrain’s industry and tourism minister, Zayed bin Rashid al-Zayani. Buying the company shares instead of the London building saved the Blairs more than $400,000 in property taxes, the investigation found.

Story continues below advertisement

The Blairs and the al-Zayanis both said they didn’t initially know the other party was involved in the deal, the probe found. Cherie Blair said her husband wasn’t involved in the purchase, which she said was meant to bring “the company and the building back into the U.K. tax and regulatory regime.” She also said she did not want to own a British Virgin Islands company and that the “seller for their own purposes only wanted to sell the company,” which is now closed.

1:32 Online database names thousands of offshore companies found in Panama Papers Online database names thousands of offshore companies found in Panama Papers – May 9, 2016

A lawyer for the al-Zayanis said they complied with U.K. laws.

Khan, the Pakistani prime minister, is not accused of any wrongdoing. But members of his inner circle, including Finance Minister Shaukat Fayaz Ahmed Tarin, are accused of hiding millions of dollars in wealth in secret companies or trusts, according to the journalists’ findings.

View image in full screen FILE – In this Nov. 19, 2020 file photo, Pakistan Prime Minister Imran Khan speaks during a joint news conference with Afghan President Ashraf Ghani (not shown) at the Presidential Palace in Kabul, Afghanistan. (AP Photo/Rahmat Gul, File).

In a tweet, Khan vowed to recover the “ill-gotten gains” and said his government will look into all citizens mentioned in the documents and take action, if needed.

Story continues below advertisement

The consortium of journalists revealed Putin’s image-maker and chief executive of Russia’s leading TV station, Konstantin Ernst, got a discount to buy and develop Soviet-era cinemas and surrounding property in Moscow after he directed the 2014 Winter Olympics in Sochi. Ernst told the organization the deal wasn’t secret and denied suggestions he was given special treatment.

2:35 Accusations against Liberal fundraiser named in Paradise Papers called ‘completely ridiculous’ Accusations against Liberal fundraiser named in Paradise Papers called ‘completely ridiculous’ – Nov 23, 2017

In 2009, Czech Prime Minister Andrej Babis put $22 million into shell companies to buy a chateau property in a hilltop village in Mougins, France, near Cannes, the investigation found. The shell companies and the chateau were not disclosed in Babis’ required asset declarations, according to documents obtained by the journalism group’s Czech partner, Investigace.cz.

A real estate group owned indirectly by Babis bought the Monaco company that owned the chateau in 2018, the probe found.

“I was waiting for them to bring something right before the election to harm me and influence the Czech election,” Babis tweeted in his first reaction to the report.

Story continues below advertisement

The Czech Republic parliamentary election is being held on Friday and Saturday.

“I’ve never done anything illegal or wrong,” Babis added.

___

Liedtke reported from San Ramon, California, and Mattise reported from Nashville, Tennessee. Associated Press writers Karel Janicek in the Czech Republic, Frank Jordans in Berlin, Josef Federman in Jerusalem, John Rice in Mexico City, Kathy Gannon in Islamabad, Pakistan, and Felicia Fonseca in Phoenix contributed to this report."
Fakiha Baig,The Canadian Press,11/28/2017," 

A Saskatchewan woman who is worried about losing her eyesight or possibly dying because her surgery for a rare cancer was cancelled in Alberta says the operation has been quickly rescheduled for next week.

Sharon Durham said she learned late Friday afternoon that the surgery is set for next Thursday in Edmonton. She had been told earlier in the week it was off, she said, because she’s not an Alberta resident and the province’s hospitals are overwhelmed with COVID-19 patients.

READ MORE: COVID-19: Edmonton doctor recounts calling woman to share her mom’s dying moments

Durham said she was overwhelmed with joy and relief to learn the surgery will now happen.

“This one is basically going to get rid of the cancer and reconstruct (my nose),” she said.

“I still want my story out there just because I’m not the only one going through this.”

 

Durham, 54, said she was driving to the University of Alberta Hospital in Edmonton from her farm near Wynyard, Sask., on Monday when she received a call and found out the 18-hour surgery she was to have the next day for invasive cancer in her nose and under her eyes was cancelled.

“The cancer has already spread down to the corner of my left eye, so (the doctor is saying), ‘You’ll probably be losing your eyesight.’ I can deal with that but, if it goes into my brain, I can’t deal with that and neither can my family.

“That’s game over.”

Last month, Alberta Health Services announced non-essential surgeries were being cancelled as hospitals and intensive care capacity were filled beyond normal limits because of the province’s crippling fourth wave of COVID-19.

READ MORE: COVID-19: Kenney says Alberta to accept help from feds, N.L. as health system under ‘enormous pressure’

A spokesman for the health provider said Friday that it is postponing surgeries that don’t need to be performed within a three-day window, which is about 75 per cent of all surgeries.

“We are still doing urgent, emergent and prioritized cancer surgeries. We are doing all we can to complete as many cancer surgeries as possible,” said spokesman Kerry Williamson.

 

Alberta Health Minister Jason Copping said in a statement that his office received a message from Durham’s family.

“The minister is deeply sorry to patients whose care is being disrupted by the extreme pressure on our ICUs, including Albertans and patients from other provinces,” it said.

“We’re doing everything we can to get through this crisis as soon as possible and get back to providing normal care.”

Alberta’s chief medical officer of health, Dr. Deena Hinshaw, has said a majority of patients in intensive care units have COVID-19 and are unvaccinated.

Last week, Saskatchewan suspended its organ donation program due to a lack of staff and intensive care beds — also consequences of the pandemic.

Durham said she can’t have the surgery in her home province because no one is specialized enough.

She’s scared and angry that Alberta hospitals are prioritizing the health of unvaccinated individuals who are now sick.

“We’re just so angry with people not getting vaccinated,” she said in tears. “I have family who’s not getting vaccinated. I told (them) right out: ‘It’s because of you and all the other unvaccinated why I’m in this position right now.”’

In April 2020, Durham had a 23-hour surgery to remove cancer in her nose. A surgeon then reconstructed her nose with the help of a screw. She had three more surgeries after that.

 

Last May, her doctor in Saskatchewan booked an appointment for her to see an Edmonton surgeon to have the screw removed, Durham said.

Three months passed without a call, but she wasn’t too worried, she said.

“It looked like it was getting infected, so (the doctor) wanted to take that screw out… but (he) was pretty sure there was no cancer.”

She was finally able to book a consultation in August. When the surgeon saw her, he told her the cancer had returned.

Last Saturday, she was told to prepare for her next surgery. Then it was cancelled.

Durham said she called local members of the legislature every day to try to connect with someone who would listen. Her Edmonton doctor also sent emails arguing her case.

“Just from reading the lab reports… it’s growing quite fast,” she said.

“My (mind’s) been so busy that I really haven’t had a chance to sit and really think about it, and I try not to because I don’t want to die.”

READ MORE: Alberta health-care workers desperate for COVID-19 help: ‘We are treading water as furiously as we can’

Durham said the surgeon’s office is to contact her again on Monday to go over the plan for next week’s operation and what to expect.

 

Doctors are to remove the cancer, remove the remainder of her nose and begin to reconstruct it.

Watch below: Some Global News videos about the COVID-19 pandemic’s impact on surgeries."
Saba Aziz,Global News,11/28/2017," 

The national chief of the Assembly of First Nations (AFN) has criticized Prime Minister Justin Trudeau’s decision to go on a holiday on the same day Canada marked its first National Day of Truth and Reconciliation to honour lost children and survivors of residential schools.

Trudeau had received at least two invitations from Tk’emlúps te Secwépemc, a British Columbia First Nation that discovered the remains of up to 215 children at a residential school site in Kamloops earlier this year, to spend the day with survivors and their families on Sept 30.

Instead, he took a trip to Tofino, B.C., where Global News filmed the prime minister walking on a beach.

In an interview with The West Block’s Mercedes Stephenson Sunday, National Chief RoseAnne Archibald of the Assembly of First Nations said that the government’s “words and actions have to be aligned.”

 

“When the prime minister talks about reconciliation, please, you know, don’t go on a holiday on the very first National Day for Truth and Reconciliation. Participate in an event on the day, not the day before. That would be more in alignment with his real commitment to reconciliation.”

2:08 Angry responses to Trudeau’s controversial Tofino vacation Angry responses to Trudeau’s controversial Tofino vacation

Archibald, who is the first woman to serve as AFN national chief, said the prime minister’s decision to not attend a ceremony hosted by Tk’emlúps te Secwépemc was “very hurtful for survivors and intergenerational trauma survivors.”

Even though Trudeau participated in a ceremony on Parliament Hill in Ottawa the night before the first National Day of Truth and Reconciliation, many Indigenous leaders have sharply criticized him for not attending events honouring survivors on the actual day.

Read more: Trudeau apologizes after skipping First Nation reconciliation ceremony for Tofino trip

 

On Saturday, Trudeau telephoned Tk’emlúps Nation Chief Roseanne Casimir and offered her an apology. In a statement to Global News Sunday, the prime minister’s office said he also discussed the path forward and told the chief that he hopes to visit her community soon.

Earlier this year, the federal government designated Sept. 30 as a federal statutory holiday to give Canadians a chance to reflect on the legacies of the residential school system, colonial policies and the cultural genocide of Indigenous Peoples in Canada.

However, Indigenous community members say it should not be treated as a holiday, but rather a day of remembrance and reflection. A number of events and ceremonies were organized across the country.

2:21 Indigenous leader calls Trudeau’s Tofino trip ‘slap in the face’ Indigenous leader calls Trudeau’s Tofino trip ‘slap in the face’

An estimated 150,000 First Nations, Inuit and Metis children attended residential schools between the 1860s and 1996. The Truth and Reconciliation Commission documented stories from survivors and families and issued a report in 2015.

 

The report details mistreatment at the schools, including the emotional, physical and sexual abuse of children, and at least 4,100 deaths.

Read more: 1st National Day for Truth and Reconciliation draws mixed feelings from Indigenous community

Trudeau has yet to visit the site of the former Kamloops residential school, where as many as 215 bodies were discovered earlier this year at a burial site near the school.

Archibald, who belongs to the Taykwa Tagamou Nation in Ontario, urged Trudeau to visit Casimir, her council and community.

“That would have been the ideal place for him … as we marked the very first National Day for Truth and Reconciliation.”

In a tweet Sunday evening, Archibald added a call for media outlets to give as much coverage to survivors’ stories as they did on Trudeau’s trip to Tofino.

Statement from National Chief Archibald on Prime Minister Trudeau’s absence on inaugural Truth and Reconciliation Day. @justintrudeau #everychildmatters #TruthAndReconciliation pic.twitter.com/5NN79U91nx — RoseAnne Archibald (@ChiefRoseAnne) October 3, 2021

 

Let’s remember that Truth and Reconciliation is about Survivors and those children who died in the institutions of assimilation and genocide,” said Archibald.

Therefore, I ask media outlets to give as much time to Survivors’ stories as they are giving to the Prime Minister’s behaviour on September 30.”

–With files from the Canadian Press and Global News’ David Lao

The Indian Residential Schools Crisis Line (1-866-925-4419) is available 24 hours a day for anyone experiencing pain or distress as a result of their residential school experience."
,,11/28/2017,"Canadian Indigenous leaders demanded an apology from Prime Minister Justin Trudeau, Friday, as the fallout from his personal trip to Tofino continued to reverberate. Trudeau made the trip Thursday, bypassing ceremonies that day to commemorate Canada’s first-ever National Day for Truth and Reconciliation."
,,11/28/2017,"‘The West Block’ host Mercedes Stephenson is joined by Assembly of First Nations National Chief Roseanne Archibald to discuss her feelings on the first National Day for Truth and Reconciliation. Archibald also shares her thoughts on Prime Minister Justin Trudeau heading to Tofino, B.C. for a vacation on the new statutory holiday."
,,11/28/2017,"A sure sign of fall, the Kokanee Salmon have returned to Mission Creek and Hardy Falls Regional Parks to spawn. Sydney Morton has more on the life cycle that starts and ends in the Okanagan."
,,11/28/2017,"The Chinese government insists there is no connection between the release of Michael Kovrig and Michael Spavor, and the return of Huawei CFO Meng Wanzhou. Much of the world, though, considers it a case of hostage diplomacy. As Abigail Bimman reports, how Ottawa navigates its relationship with Beijing won’t be easy."
,,11/28/2017,Anna Lange and Lillian Cariaga describe their experiences selling for an MLM. They both say they joined in part because of the isolation of COVID-19.
,,11/28/2017,"02:03

Global News Hour at 6 BC

Poll finds 1 in 3 British Columbians haven’t been asked for vaccine passport as they should have"
"Gene Blevins, Jonathan Allen",,11/28/2017," 

A large oil spill off the southern California coast left fish dead, birds mired in petroleum and wetlands contaminated, prompting local officials to call it an environmental catastrophe.

The U.S. Coast Guard, heading a clean-up response involving federal, state and city agencies, said on Sunday there was an around-the-clock investigation into how the spill occurred.

An estimated 126,000 gallons, or 3,000 barrels, had spread into an oil slick covering about 13 square miles of the Pacific Ocean since it was first reported on Saturday morning, said Kim Carr, the mayor of Huntington Beach, at a press conference.

She called the spill an “environmental catastrophe” and a “potential ecological disaster.” The beachside city, about 40 miles (65 km) south of Los Angeles, was bearing the brunt of the spill.

 

Carr added: “Our wetlands are being degraded and portions of our coastline are now covered in oil.”

The spill was caused by a breach connected to the Elly oil rig and stretched from the Huntington Beach Pier down to Newport Beach, a stretch of coast popular with surfers and sunbathers.

Carr said the oil rig was operated by Beta Offshore, a California subsidiary of Houston-based Amplify Energy Corporation. Calls to Beta and Amplify went unanswered.

Carr, in her remarks, added: “In the coming days and weeks we challenge the responsible parties to do everything possible to rectify this environmental catastrophe.”

Amplify Energy CEO Martyn Willsher said at a press conference in Long Beach that the pipeline had been shut off and remaining oil suctioned out. He said divers were still trying to determine where and why the spill occurred.

1:48 Estimated 150,000 litres of crude spills from TMX pipeline in Abbotsford, B.C. Estimated 150,000 litres of crude spills from TMX pipeline in Abbotsford, B.C – Jun 14, 2020

U.S. Representative Michelle Steel, a Republican representing part of the affected area, sent a letter to Democratic President Joe Biden requesting a major disaster declaration for Orange County, which would free up federal funds to help with the clean-up efforts.

 

Steel later told CNN: “This is a really serious disaster.”

Cottie Petrie-Norris, a Democratic state assembly member representing some areas affected by the spill, said she had “huge concerns” about the extent of the damage to the environment, communities and local economy.

She told CNN the spill was a “call to action that we need to stop drilling off our precious California coast.”

Oil production off California’s coast has declined sharply since its peak in the 1990s, in part due to the state’s strict environmental rules. Democratic Governor Gavin Newsom said he wants to end oil drilling in the state by 2045.

Offshore drilling was restricted in the state after a devastating 1969 oil spill off the coast of Santa Barbara that dumped 80,000 barrels into the ocean. More recently another spill off Santa Barbara in 2015 sent as much as 2,400 barrels onto the shore and into the Pacific.

Oceana, an ocean conservation group, also called for an end to offshore oil and gas drilling.

Jacqueline Savitz, Oceana’s chief policy officer, said in a statement: “This is just the latest tragedy of the oil industry. It’s well past time to prevent future oil spills by permanently protecting our coasts from offshore drilling.”

 

1:17 Different factors to consider in oil spill clean up: U of S professor Different factors to consider in oil spill clean up: U of S professor – Dec 16, 2019

The spill occurred in federal waters. Officials said federal, state and city agencies were involved in a response headed by the U.S. Coast Guard.

On Sunday, Orange County supervisor Katrina Foley said the oil had infiltrated the Talbert Marsh, a large ecological reserve, causing “significant damage.”

Beaches were closed to swimming and a local air show was canceled, although some people were undeterred from setting up chairs on the beach to enjoy a sunny Sunday or strolling along the pier.

Carr said officials had deployed 2,050 feet (625 meters) of protective booms, which help contain and slow the oil flows.

The U.S. Coast Guard, working with local and state agencies, flew airplanes to assess the spill and had hired contractors to clean it up.

 

Officials said they were investigating the cause of the spill and the type of oil involved.

(Reporting by Jonathan Allen in New York; Additional reporting by Tim Reid and Nichola Groom in Los Angeles; David Brunnstrom in Washington; Editing by Daniel Wallis, Christopher Cushing and Lisa Shumaker)"
,,11/28/2017,"Reinforcements are being sent to Alberta, as the Canadian military prepares to deploy in the province, to help with its dire COVID-19 crisis. But with hospitals being pushed to the brink, will the federal help be enough? Also, Ottawa faces flak for failing to charge a Canadian accused of supporting ISIS, as American authorities take the initiative. Plus, nearly 50 years after Roe v. Wade, the battle for abortion rights heats up again in the United States. And, the unprecedented demand for medically assisted dying in Nova Scotia, and how the province is struggling to keep up."
,,11/28/2017,"The consumption of dog meat is a centuries old practice in South Korea, but the country’s president – a known dog-lover — recently announced it’s time to consider a ban. Crystal Goomansingh looks at the controversial cuisine, and the welcome news for animal rights groups."
,,11/28/2017,"Tens of thousands of Canadians have chosen to end their lives on their own terms since the country’s medical assistance in dying (MAID) program was introduced in 2016. But as Ross Lord reports, increasing demand has left at least one province struggling to provide the end of life service."
,,11/28/2017,"Calls are growing for changes to policing in the U.K., after a former London Metropolitan Police constable was sentenced to life in prison for the kidnapping, rape and murder of Sarah Everard earlier this year. In response, the Met Police urged women to take caution when interacting with lone police officers. But as Redmond Shannon reports, women’s right campaigners say it’s the police who need to change their behaviour, and not the public."
,,11/28/2017,"Canadian Mohammad Khalifa is facing trial in the United States, after the FBI detained the former Toronto IT worker and charged him with a terror-related offence for his role in supporting the so-called Islamic State. David Akin explains why experts say the case is hurting Canada’s reputation, as it faces criticism for not repatriating other Canadians who fought for ISIS."
,,11/28/2017,"As the conservative-leaning U.S. Supreme Court prepares to reconvene, concerns are mounting over abortion rights in several states. The court declined to block a Texas abortion law from taking effect, and a forthcoming case from Mississippi could be the greatest test yet to the landmark ruling in Roe v. Wade. Jennifer Johnson reports."
,,11/28/2017,"Canadian Armed Forces members, the Red Cross, and health workers from Newfoundland and Labrador are preparing to offer help to Alberta, to ease the pressure on hospitals and intensive care units struggling to keep up in province’s worsening COVID-19 crisis. But as Heather Yourex-West reports, front-line doctors say the incoming federal help may not be enough to contain the surge."
,,11/28/2017,"When asked about ongoing discussions regarding an infrastructure bill and a multi-trillion-dollar social spending bill, U.S. Senate Majority Leader Chuck Schumer said on Sunday that the goal is to get both passed in the next month, overcoming divisions between moderate and progressive Democrats."
,,11/28/2017,New Zealand Prime Minister Jacinda Ardern on Sunday put additional regions of the country into a snap lockdown after its COVID-19 Delta variant outbreak spread beyond Auckland. Ardern said parts of the Waikato region will go into a five-day lockdown after two new cases were reported.
,,11/28/2017,"Josep Borrell, the European Union’s foreign policy chief, said Sunday the behaviour by the Taliban government in Afghanistan was “not very encouraging,” and any economic collapse would raise the risk of terrorism and other threats. He also said humanitarian aid to Afghanistan had increased since the Taliban took power, but the EU had halted development assistance."
,,11/28/2017,"Dr. Anthony Fauci, chief medical advisor to U.S. President Joe Biden, said in an interview on CBS’ Face the Nation it was “too soon to tell” whether it would be safe for Americans to gather at Christmas. He added the U.S. had to try and get the number of COVID-19 cases and hospitalizations down, saying “we can do it” by getting vaccinated."
,,11/28/2017,"Instagram was in the process of creating an app for kids, but growing opposition for the project had the company put a pause on their plans. Global’s Sharmeen Somani reports."
,,11/28/2017,"Tropical cyclone Shaheen continued to approach Oman on Sunday, bearing down on the country on the Arabian Peninsula and leaving roads underwater due to heavy rains. At least three people have died, including one child who was swept away by water."
,,11/28/2017,Spurts of lava gushed down the mountainside of the Cumbre Vieja volcano Saturday night and clouds of black smoke spewed into the sky early Sunday as experts say the eruption on La Palma island in Spain entered a more aggressive phase since starting Sept. 19.
,,11/28/2017,"In this edition of ‘The West Block’, host Mercedes Stephenson discusses the first National Day for Truth and Reconciliation with National Chief Roseanne Archibald and gets her thoughts on the Prime Minister going on vacation despite invitations to attend nearby ceremonies. Stephenson is then joined by Environment and Climate Change Minister as he meets with his counterparts from around the world in Milan ahead of the UN COP26 summit. Finally, Saskatchewan Health Authority Chief Medical Officer Dr. Susan Shaw discusses the crisis in the province’s health-care system among record-setting COVID-19 cases and hospitalizations."
,,11/28/2017,"‘The West Block’ host Mercedes Stephenson joins Saskatchewan Health Authority Chief Medical Officer Dr. Susan Shaw to discuss what she calls a crisis in the province’s health-care system. Saskatchewan is seeing record-setting hospitalizations in a Delta variant-fuelled fourth wave, and Shaw doesn’t see a plateau coming in the near future. She is hopeful the newly introduced proof of vaccination system will help slow growing COVID case rates in Saskatchewan."
,,11/28/2017,‘The West Block’ host Mercedes Stephenson speaks with Environment and Climate Change Minister Jonathan Wilkinson as he attends a pre-COP26 meeting in Milan. The minister discusses Canada’s ongoing efforts to reduce greenhouse gas emissions and securing funding for a $100 billion fund to help developing nations reduce emissions.
,,11/28/2017,"‘The West Block’ host Mercedes Stephenson is joined by Assembly of First Nations National Chief Roseanne Archibald to discuss her feelings on the first National Day for Truth and Reconciliation. Archibald also shares her thoughts on Prime Minister Justin Trudeau heading to Tofino, B.C. for a vacation on the new statutory holiday."
,,11/28/2017,"Armed Taliban members stood guard outside a mosque in Kabul on Sunday after several civilians. were killed in an explosion nearby, according to a group spokesperson. The blast happened earlier in the day near the entrance of the Eidgah mosque just outside of where a prayer ceremony was underway. Members also took up positions outside the hospital where the injured had been taken."
,,11/28/2017,A poll finds negativity is growing towards unvaccinated Canadians as we get closer to hitting the two year mark of the pandemic. Global’s Sharmeen Somani reports.
,,11/28/2017,"Have you ever gone for a run at high elevations? Say, Peru or even Colorado? The thin air can make it difficult to breathe. Turns out many elite athletes, and even “normal” people like you and I, are turning to altitude chambers to up their game – claiming training with less oxygen causes physiological adaptations to enhance performance. Minna Rhee reports."
,,11/28/2017,October is Breast Cancer Awareness Month and the annual CIBC Run for the Cure takes place today virtually across the country. Mike Arsenault has more from a walking path behind the station.
,,11/28/2017,Anna Lange and Lillian Cariaga describe their experiences selling for an MLM. They both say they joined in part because of the isolation of COVID-19.
,,11/28/2017,"Real estate analysts and industry watchers say there’s been a significant increase in the number of Canadians who are buying homes, sight unseen, during the pandemic. Anne Gaviola explains how COVIVD-19 turbo-charged the housing market, pushing prices higher and spurring a buying frenzy."
,,11/28/2017,"More than 700,000 thousand people have died from COVID-19 in the U.S. since March 2020, making it the country’s worst pandemic in history. As Jennifer Johnson reports, while new cases and hospitalizations are starting to decline, there are fears that another variant could follow Delta’s deadly surge."
,,11/28/2017,"The U.S. Fish and Wildlife Service has declared 23 species extinct, as new research forecasts a dark future of climate change disasters and dwindling biodiversity. As Jackson Proskow reports, scientists say conservation efforts must shift in the face of the climate crisis."
,,11/28/2017,"With weeks to go until the United Nations climate summit in Scotland, Canada faces a huge task. The role our country plays in finding funds to help developing nations fight climate change. The warnings from scientists about the climate crisis, conservation efforts and biodiversity. Fears over the next potential COVID-19 variant as the U.S. hits another grim pandemic milestone. Why a growing number of Canadians are buying homes, sight unseen. And, what the new documentary ‘For Love’ says about residential schools role in Canada’s foster care system, and Indigenous resilience."
,,11/28/2017,"Canada faces a huge fund raising task ahead of COP26, the United Nations climate summit in Glasgow, Scotland next month. As David Akin reports, delegates have pledged to deliver $100 billion per year to help developing nations tackle climate change — and Canada is playing a key role in finding more donors for that fund."
,,11/28/2017,"“The eyes of the world” will be focused on Scotland for next month’s climate summit, Queen Elizabeth told Scottish lawmakers on Saturday, adding they would have an important role in making a better, healthier world. Great Britain will host the COP26 climate summit in Scotland in November, which officials bill as the last chance for world leaders to commit to firm targets to reduce emissions for the next decade."
"Simon Little,Grace Ke",Global News,11/28/2017,"Starting on Monday, B.C. students from Kindergarten to Grade 3 will need to mask up when they head to school as the province expands its mask mandate to everyone in the school system.

But with the battle over masking now in the rearview mirror, pressure is mounting on the next potential dispute concerning COVID-19 safety in the classroom: mandatory vaccination for staff.

On Friday, the New Westminster school district voted to seek legal advice on the possibility of a mandate, with a report on the idea expected next Tuesday.

Six B.C. school district parent advisory councils, including Vancouver, Surrey and Burnaby, have also signed a letter to the provincial government calling for mandatory vaccination for teachers and staff.

Story continues below advertisement

3:25 B.C. mandates masks for all students K-12 B.C. mandates masks for all students K-12

“If we ask for it as well, and we show the fact that we support it as well as parents, perhaps that will give the indication to the minister of health to call on the teachers to have mandated vaccines,” Surrey District Parent Advisory Council President Rina Diaz said.

Mike McCullough, an advocate with the BC Safe Schools coalition, would like to see the mandate go even further.

“I think anybody who’s eligible should be mandated to vaccines,” he said. “Not only for staff but for eligible children as well.”

The BC Teachers’ Federation has maintained that it would not oppose a vaccine mandate for members, though said any such requirement would need to protect privacy and offer accommodations for staff who can’t be vaccinated for medical reasons.

Story continues below advertisement

Asked about the idea Friday, Provincial Health Officer Dr. Bonnie Henry appeared to suggest that if a mandate was imposed, it wouldn’t come in the form of an order from her office.

4:58 BCTF President Teri Mooring on COVID safety guidelines in schools BCTF President Teri Mooring on COVID safety guidelines in schools

“My responsibility under public health orders is to look at those highest risk environments that are in the health system. So that’s what I am focusing on from public health orders,” she said, adding that she was supportive of employers having their own requirements in risky settings.

“It is an employer-employee relationship in many other settings, and we are seeing increasingly that employers are requiring vaccination in many different settings and school settings are no different.”

It’s not clear exactly how many teachers are vaccinated, but the union says a strong majority of staff have been immunized.

Story continues below advertisement

At present, only students aged 12 and up are eligible to be vaccinated, however, Pfizer has submitted trial data on vaccine safety in kids aged five to 11 to Health Canada."
