Article Title,Article Text,Article Date,Article Author
"OPEC+ Sticks To Plan For Gradual Oil Output Hike, Price Roars Higher | Daily Oil Bulletin ","
(Reuters) — OPEC+ said on Monday it would stick to an existing pact for a gradual increase in oil output, sending crude prices to three-year highs and adding to inflationary pressures that consuming nations fear will derail an economic recovery from the pandemic.
OPEC+ has have faced calls for additional supplies from big consumers, such as the United States and India, after oil surged more than 50 per cent this year.
OPEC+ ""reconfirmed the production adjustment plan"" that it previously agreed that would see 400,000 bbls/d added in November, the group said in a statement issued after online ministerial talks.
Brent crude roared above $81 on news that the group would stay with its plan for gradual additional production.
""We will be monitoring the situation, as we know, demand usually falls in the fourth quarter, our plans on increasing [output] are even, we will be watching how the market will be balanced,"" Russian Deputy Prime Minister Alexander Novak said.
An OPEC+ source had told Reuters before Monday's ministerial talks that the group had faced pressure to ramp up production faster, but added: ""We are scared of the fourth wave of corona, no one wants to make any big moves.""
The group had agreed in July to boost output by 400,000 bbls/d a month until at least April 2022 to phase out 5.8 million bbls/d of existing production cuts, already much reduced from curbs that were in place during the worst of the pandemic.
Demand has bounced back swiftly, while supply has been disrupted by factors ranging from hurricanes that have hammered U.S. production to low levels of investment across the industry during the depths of the pandemic when demand cratered.
A senior aide to U.S. President Joe Biden met Saudi Crown Prince Mohammed bin Salman in Saudi Arabia on a range of issues last week, saying oil was ""of concern."" India, another big oil consumer, has pushed for more supply.
""For now, most producing members may be comfortable with an $80 per barrel Brent price, but there is a risk of receiving a backlash or pressure from buyers like the U.S. and China, who are openly calling for lower energy prices,"" consultancy Rystad Energy wrote before the ministers met.
Analysts had said they expected uncertainty about the impact on demand from variants of the coronavirus, which threaten fresh economic disruption, to weigh on OPEC+ decision-making.
","Monday, October 4, 2021, 10:10 AM MDT", 
"Global LNG: Asia LNG Price Rise On Firm Chinese Demand, Eyes On Russian Flow | Daily Oil Bulletin ","
(Reuters) — Asia liquefied natural gas (LNG) prices continued to rise this week on the back of higher European gas prices, which fuelled competition from buyers in Asia, while demand is firm from top buyer China.
The average LNG price for November delivery into Northeast Asia was estimated at about $38.50/mmBtu, up $1.50 from the previous week, industry sources said.
December delivery prices were estimated to be about $38.40/mmBtu, they added.
Last week, price agency S&P Global Platts’ Japan-Korea-Marker (JKM), which is widely used as a benchmark in the spot market in the region, had surged to a record high of $56.326/mmBtu, before easing later.
“The market is looking to the extent of uncontracted demand in China for winter following the national holiday. This is expected to emerge, but by how much and when will probably be crucial for shaping market sentiment,"" an industry source said.
Facing an ongoing power crunch, amid a shortage of coal for electricity generation, China has been one of the heavy buyers of LNG. The country’s September imports of natural gas, both from pipelines and as LNG, were at a nine-month high at 10.62 million tonnes, 22.6 per cent above year-ago levels.
The heavy Chinese buying is reinforcing the link between Asian LNG pricing and the European TTF benchmark, said Robert Songer, LNG analyst at commodities intelligence firm ICIS, adding that events in Europe will continue to influence Asian LNG prices.
“Attention will continue to be focused on [gas transit] capacity auctions on Monday, and what they reveal about Russia’s bookings for November capacity into Europe, as this is the last chance to stock up on natural gas,” he said.
Russia's Deputy Prime Minister Alexander Novak said on Friday that Russia could resume spot gas sales after it finishes filling its storage reserves.
Novak did not say how soon or in what quantities such sales could take place, but the government has said it intends to keep topping up domestic inventories until Nov. 1.
Freight rates to ship LNG remained high, with LNG freight from the U.S. to Northwest Europe and Northwest Asia approximately at peak levels of $2.50 and $4.50, respectively, per mmBtu, according to data intelligence firm Spark.
Pakistan LNG did not receive any offers in a tender seeking eight LNG cargoes for delivery over December to January.
Turkish state energy company Botas is seeking 19 LNG cargoes for delivery over November this year to March next year.
KOGAS International, the Singapore-based arm of Korea Gas Corp., is offering an LNG cargo for loading from the Australian Prelude plant, for delivery into the Northeast Asia region over Dec. 19-22.
","Friday, October 15, 2021, 9:19 AM MDT", 
Factbox: North American LNG Export Projects | Daily Oil Bulletin ,"
(Reuters) — North America currently exports about 10 bcf/d of natural gas as LNG, largely to destinations in Asia like China and India. All of that LNG currently comes from export plants in the United States.
Prices in Asia and Europe have surged due to shortages of fuel needed by power generators to keep electricity flowing, but the United States cannot export any more than it already is doing because it takes years for liquefaction trains to be developed and built.
Right now, there are trains at five projects currently under construction in the United States, Canada and Mexico that would add another 7.0 bcf/d in the next five years.
In addition, there are more than a dozen projects that are being considered for a final investment decision (FID) over the next two years. The following table lists proposed North American LNG export plants with capacities in million tonnes per annum (mtpa) of LNG and bcf/d of natural gas:






Under Construction
 
 
 
 
 
 


Project Name
Locale
Company
FID
Target Start
MTPA/LNG
BCFD/gas


Sabine Pass 6
Louisiana
Cheniere
Jun-19
Jan-22
5
0.66


Calcasieu Pass 1-6
Louisiana
Venture Global LNG
Aug-19
Jan-22
3.8
0.49


Calcasieu Pass 7-18
Louisiana
Venture Global LNG
Aug-19
2023-2024
7.5
0.99


Costa Azul 1
Mexico
Sempra
Nov-20
H2 2024
3.3
0.43


Golden Pass 1
Texas
Qatar, ExxonMobil
Feb-19
Jan-25
6.6
0.87


LNG Canada 1
BC, Can.
Shell
Oct-18
Sep-25
7
0.92


Golden Pass 2
Texas
Qatar, ExxonMobil
Feb-19
Sep-25
6.6
0.87


LNG Canada 2
BC, Can.
Shell
Oct-18
Mar-26
7
0.92


Golden Pass 3
Texas
Qatar, ExxonMobil
Feb-19
Jul-26
6.6
0.87


 
 
 
 
 
 
 


 
 
 
 
 
 
 


In Development
 
 
 
 
 
 


Project
Locale
Company
FID
Target Start
MTPA/LNG
BCFD/gas


Woodfibre LNG
BC
RGE Group Pacific Oil and Gas
2021
2025
2.1
0.28


Plaquemines Parish 1-18
Louisiana
Venture Global LNG
2021 Q4
2024
11.3
1.48


Rio Grande LNG-Brownsville 1-5
Texas
NextDecade LNG
2021 late
2025
27
3.55


Lake Charles 1-3
Louisiana
Energy Transfer
2021
2025
16.5
2.16


Puerto Libertad 1-3
Mexico
Mexico Pacific LNG
2022 early
2026
12.9
1.7


Driftwood Phase 1
Louisiana
Tellurian
Mar-22
2026
11
1.45


Freeport 4
Texas
Freeport LNG
2022 mid
2026
5.1
0.67


Corpus Christi Midscale 1-7
Texas
Cheniere
2022
2025
11.5
1.51


Vista Pacifico
Mexico
Sempra
2022
2025
4
0.53


Port Arthur 1-2
Texas
Sempra
2022
2025
13.5
1.78


Texas LNG Brownsville 1 & 2
Texas
Glenfarne Group
2022 Q4
2026
4
0.53


Cameron 4
Louisiana
Sempra
2022 late
2026
6
0.79


Commonwealth LNG Cameron Parish
Louisiana
Commonwealth LNG
2023 Q1
2027
8.4
1.1



","Friday, October 15, 2021, 8:58 AM MDT", 
China Looks To Lock In U.S. LNG As Energy Crunch Raises Concerns – Sources | Daily Oil Bulletin ,"
(Reuters) — Major Chinese energy companies are in advanced talks with U.S. exporters to secure long-term LNG supplies, as soaring gas prices and domestic power shortages heighten concerns about the country’s fuel security, several sources said.
At least five Chinese firms, including state major Sinopec Corp. and China National Offshore Oil Company (CNOOC) and local government-backed energy distributors like Zhejiang Energy, are in discussions with U.S. exporters, mainly Cheniere Energy and Venture Global, the sources told Reuters.
The discussions could lead to deals worth tens of billions of dollars that would mark a surge in China’s LNG imports from the United States in coming years. At the height of a Sino-U.S. trade war in 2019, gas trade briefly came to a standstill. LNG export facilities can take years to build, and there are several projects in North America in the works that are not expected to start exporting until the middle of the decade.
Talks with U.S. suppliers began early this year but speeded up in recent months amid one of the biggest power-generating, heating fuel crunch in decades. Natural gas prices in Asia have jumped more than fivefold this year, sparking fears of power shortages in the winter.
“Companies faced a supply gap [for winter] and surging prices. Talks really picked up since August when spot prices touched $15/mmBtu,” said a Beijing-based senior industry source briefed on the talks.
Another Beijing-based source said: “After experiencing the recent massive market volatility, some buyers were regretting that they didn't sign enough long-term supplies.”
Sources expected fresh deals to be announced over the coming few months, after privately controlled ENN Natural Gas Co., headed by the ex-LNG chief of China’s largest buyer, CNOOC, announced a 13-year deal with Cheniere on Monday.
It was the first major U.S.-China LNG deal since 2018.
The new purchases will also cement China’s position as the world’s top LNG buyer, taking over from Japan this year.
“As state-owned enterprises, companies are all under pressure to keep security of supply and the recent price trend has deeply changed the image of long-term supplies in the mind of leadership,” said the first Beijing-based trader.
“People may have taken the spot [market] as the key in the past, but are now realizing that long-term cargoes are the backbone.”
Cheaper U.S. gas
The sources declined to be named as the negotiations are private.
Sinopec declined comment. CNOOC and Zhejiang Energy did not immediately respond to requests for comment.
Venture Global declined comment. Cheniere did not immediately respond to a request for comment.
“We expect more deals to be signed before year-end. It’s primarily driven by the global energy crunch and prices we’re seeing now.... U.S. supplies now stand out as attractive,” said a third Beijing source briefed on the talks.
U.S. cargoes used to be expensive versus oil-linked supplies from Qatar and Australia for example, but are cheaper now.
A deal at $2.50 + 115 per cent of Henry Hub futures, similar to ENN’s deal according to traders, would be roughly about $9-$10/mmBtu on a delivered basis into Northeast Asia. This includes an average shipping cost of $2/mmBtu for the U.S.-China route.
Jason Feer, global head of business intelligence with consultancy Poten & Partners, said Chinese companies are heavily exposed to Brent-related pricing for LNG and the U.S. purchases give some diversity to the pricing.
Asian spot gas prices are currently trading at above $37/mmBtu after reaching a record high of over $56 earlier this month.
Traders expect prices to go higher in winter when demand typically surges.
Chinese buyers are scouting for both near-term shipments to cover demand this winter and long-term imports as demand for gas, seen by Beijing a key bridge fuel before reaching its 2060 carbon-neutral goal, is set for steady growth through 2035.
It’s hard to estimate a total volume of the deals being discussed, sources said, but Sinopec alone could be eyeing 4 million tonnes annually as the company is most exposed to the spot market versus domestic rivals PetroChina and CNOOC, said a third source.
Traders said Sinopec is in final talks with three to four companies to buy one million tonnes a year for 10 years, starting from 2023, and is looking for U.S. volumes as part of the requirement.
Delays in LNG export projects in Canada, in which PetroChina owns a stake, and Mozambique, where both PetroChina and CNOOC have invested, also made U.S. supplies attractive, sources added.
North American LNG exporters have been adding to capacity because of demand in major Asian economies.
Cheniere, the largest exporter out of the United States, said in late September it expects to announce “a number of other transactions” that will support its going forward with the Corpus Stage 3 expansion next year.
Venture Global is building or developing over 50 million tonnes per annum (mtpa) of LNG production capacity in Louisiana, including the 10-mtpa Calcasieu, which is expected to cost around $4.5 billion and start producing LNG in test mode in late 2021.
However, some buyers remained cautious.
“There is a lot of hype in the market and nobody knows for sure how long this supply crunch would last. For companies that do not have fresh demand in the next year or two, it’s better to wait,” said a separate Chinese importer.
","Friday, October 15, 2021, 8:18 AM MDT", 
"Global Gas Crisis Spilling Over Into Oil Markets, IEA Says | Daily Oil Bulletin ","
(Bloomberg) — Shortages of natural gas in Europe and Asia are boosting demand for oil, deepening what was already a sizable supply deficit in crude markets, the International Energy Agency said.
Crude has surged above $80/bbl, the highest in three years, as traders anticipated that record gas prices would stimulate consumption of other fuels, particularly for power generation. That’s already happening and could add about 500,000 bbls/d to oil use on average over the coming six months, the IEA said on Thursday. 
“An acute shortage of natural gas, LNG and coal supplies stemming from the gathering global economic recovery has sparked a precipitous run-up in prices for energy supplies and is triggering a massive switch to oil products,” the IEA said. “Provisional August data already indicates that there is some unseasonably high demand for fuel oil, crude and middle distillates for power plants across a number of countries, including China.”
The latest analysis from the agency shows how the acute shortage of natural gas is spilling over into other markets and the broader economy. The crisis is deepening the current oil-supply deficit, potentially disrupting OPEC’s careful plan to gradually revive idle production. It’s roiling energy-intensive industries and threatens to curb GDP growth and boost inflation.
The IEA raised its estimate for demand growth this year by 300,000 bbls/d to 5.5 million bbls/d, and increased it slightly for 2022 to 3.3 million bbls/d. The effect of oil-gas switching will mostly be felt this quarter and next, the agency said.
The gas crisis isn’t entirely a net positive for oil consumption. The increase in the IEA’s demand estimates was tempered by a weaker outlook for GDP resulting mainly from supply-chain issues and rising energy costs.
“The surge in prices has swept through the entire global energy chain,” the IEA said. “Higher energy prices are also adding to inflationary pressures that, along with power outages, could lead to lower industrial activity and a slowdown in the economic recovery.”
The agency noted that OPEC+ stuck to their plan to boost production by 400,000 bbls/d “despite calls from major consuming countries for a more substantial increase.”
OPEC+ showed no signs of deviating from its plan. Speaking at Russian Energy Week in Moscow, Saudi Energy Minister Prince Abdulaziz bin Salman reiterated his commitment to a gradual and phased revival of idle supply. The crisis engulfing other energy markets shows what a good job the group has done in regulating oil, he said.
Global oil production will rise by about 2.7 million bbls/d from September to the end of the year as OPEC+ continues to unwind its cuts and U.S. output recovers from the damage caused by Hurricane Ida, the IEA said. Even with those additions, the market will be in a supply deficit of about 700,000 bbls/d for the rest of this year, before flipping back into surplus in early 2022, the IEA said.
","Thursday, October 14, 2021, 10:01 AM MDT", 
"Coastal GasLink In Dispute With LNG Canada; Discussions Are Progressing, Says TC Energy | Daily Oil Bulletin ","
Coastal GasLink is in dispute with LNG Canada with respect to recognition of certain costs and the impacts on the project schedule, TC Energy Corporation top brass told this morning’s second quarter conference call.
As a result of scope changes, permit delays and the impacts from COVID-19, including a provincial health order, TC Energy expects that project costs will increase significantly along with a delay to project completion compared to the original project cost and schedule.
“While commercial discussions are ongoing, and we remain committed to successfully completing the project, we are nearing a critical stage that requires resolution of the outstanding issues,” said François Poirier, president and chief executive officer. He noted that construction activities have resumed and the project is close to half finished.
However, if a resolution is not reached soon, then Coastal GasLink may suspend certain key construction activities, although crews would continue with safety and regulatory compliance-related work. The substance of a resolution with LNG Canada will determine any equity required to be contributed by Coastal GasLink LP partners — including TC Energy — needed to fund incremental costs.
In response to the pandemic, an order of the British Columbia Provincial Health Officer restricted the number of workers on industrial sites across northern B.C., including Coastal GasLink, and, as a result, only critical construction activities continued from December 2020 to early in the second quarter.
On April 13, the province lifted its health order, allowing for finalization of project remobilization plans for the summer construction program. In the absence of continued pipeline construction during the winter period, the project required major erosion and sediment control work.
Coastal GasLink has sought and will continue to mitigate cost increases and schedule delays, according to TC Energy management. Coastal GasLink expects incremental costs will be included in final pipeline tolls, subject to certain conditions.
“We’ve been in discussions for some time now, and those discussions do continue — they are confidential,” said Tracy Robinson, executive vice-president, president of Canadian Natural Gas Pipelines and Coastal GasLink. “We do have our equity partners involved. Because they’re all confidential, we’re unable to share any details at this time.
“I can say that [discussions] are progressing, but if we’re not able to reach a resolution in the near-term, then there will be some implications to our construction.”
Meanwhile, Coastal GasLink maintains access to a subordinated demand revolving facility with TC Energy that provides the project with additional short-term funding and financial flexibility and on which $220 million was drawn at June 30. Robinson noted the project, which is in full execution, employs more than 5,000 workers in the corridor. She is optimistic there will be a “fair and reasonable outcome” from ongoing discussions for the project.
If necessary, as an interim measure, the total amount of available credit facilities TC Energy provided to Coastal GasLink may be expanded so Coastal GasLink can access incremental short-term funding as a bridge to a required increase in project-level financing or project recoveries. Robinson added: “Execution is going well. We have a strong safety record. We want to continue to [conduct] construction.”
 
","Thursday, July 29, 2021, 11:25 AM MDT",Carter Haydu
Tourmaline Q2 Output Surges | Daily Oil Bulletin ,"
Tourmaline Oil Corp.’s second quarter 2021 average production was 410,339 boe/d (414,387 boe/d prior to storage injections in California and Dawn), a 37 per cent increase over Q2 2020 (299,369 boe/d).
The company anticipates average third quarter production to range between 450,000 - 460,000 boe/d.
The company expects to reach the 500,000 boe/d production level in Q2 2022 primarily through the completion of Gundy Phase 2, the Nig Creek expansion, and the ongoing Laprise development program.
2021 average production of approximately 430,000 – 445,000 boe/d is anticipated, including all acquisitions and associated incremental capital spending on those assets.
Financial results
Second quarter 2021 cash flow was $570.2 million ($1.89 per diluted share) compared to $225.2 million (83 cents per diluted share) in Q2 2020.
Second quarter 2021 after tax net earnings were $420.8 million ($1.40 per diluted share) compared to $20.1 million ($0.07 per diluted share) in second quarter of 2020.
The company delivered free cash flow of $343.9 million on EP capital spending of $215.9 million in Q2 2021.
Full-year 2021 cash flow of $2.78 billion is now expected with estimated free cash flow of $1.47 billion.
Capital program and financial outlook
Second quarter 2021 EP capital spending was $215.9 million.
Full-year 2021 EP capital spending of $1.27 billion is currently expected.
Net debt at June 30, 2021, was $1.7 billion, which excludes the two NEBC transactions with Topaz Energy Corp., yielding $390 million in cash, both of which are expected to close in the third quarter of 2021.  Exit Q3 2021 expected net debt is approximately $1.4 billion, including the impact of all acquisitions completed to date in 2021.  The company now expects to achieve year-end 2021 net debt of approximately $1 billion (less than 0.4 times debt to cash flow, and less than one times annual FCF). 
As at July 15, 2021, Tourmaline's Topaz equity ownership was valued at $939.7 million, which essentially offsets the estimated 2021 year-end net debt.
The updated five-year plan, at current strip pricing, delivers $1.8 billion of FCF in 2022 and $7.0 billion over the full five-year duration of the plan.
Marketing update
Average realized natural gas price in Q2 2021 was $3.25/mcf as the company benefited from rising commodity prices, select hedging, and the company's broad natural gas market diversification portfolio throughout North America.
Following the Black Swan Energy acquisition, Tourmaline has an average of 822 mmcf/d hedged for 2021 at a weighted average fixed price of C$2.69/mcf, an average of 125 mmcf/d hedged at a basis to AECO of U.S. dollar $(0.35) /mcf and an average of 562 mmcf/d of incremental volume exposed to export markets, including Dawn, Iroquois, Empress/McNeill, Chicago, Ventura, Sumas, Malin, and PG&E.
With incremental volumes on the GTN Malin/PG&E system and the company's recently announced Gulf Coast LNG pathway in 2023, Tourmaline will have 905 mmcf/d exposed to export markets on firm, long-term transport agreements at exit 2023.
The accelerated Gundy Phase 2 expansion project is expected to be onstream in January 2022 so as to take advantage of potential winter gas price premiums.
The PG&E California market continues to be a very strong market with an average Q2 benchmark price of US$4.00/mmBtu and strip pricing at July 23, 2021 of $5.48/mmBtu for the remainder of 2021.
NGL price realizations in Q2 2021 were up 130 per cent over Q2 2020.  Tourmaline is Canada's largest NGL producer, averaging 55,543 bbls/d during the second quarter.
","Wednesday, July 28, 2021, 3:38 PM MDT", 
Pieridae Lowers Production Forecast | Daily Oil Bulletin ,"
Pieridae Energy Limited’s production forecast is now expected to be 40,000-42,500 boe/d for the remainder of 2021, compared to previous guidance of 40,000-45,000.
“We are guiding to a lower NOI [net operating income] in the range of $85-$100 million, down from the previous forecast of $100-$130 million,” said the company.
As well, adjusted operating expenses per boe are expected to increase from $9.50-$10.50 to $12.50-$13.00 primarily reflecting the increase in power prices and processing fees expected for the remainder of the year.
A previously stated development budget of $15-$20 million for the Goldboro LNG project is no longer being considered. The bulk of the company’s $35-$45 million upstream capital budget will continue to be invested to ensure the safe-reliable operation of its assets, including a fall turnaround at the Caroline Gas Complex.
Production for Q2 was 38,404 boe/d, down from 43,791 boe/d for the same period in 2020. Net loss was $10.06 million compared to a loss of $13.4 million the previous year. Funds flow was down at $8.52 million from $12.47 million.
In July, the company announced a strategic review process.
","Thursday, August 12, 2021, 7:04 AM MDT", 
Latest Cost Estimate For Goldboro ‘Materially’ Higher From Original Price Tag: Pieridae CEO | Daily Oil Bulletin ,"
Pieridae Energy Limited’s top executive says the latest cost estimate for the East Coast Goldboro LNG project was “materially” higher than the original estimate of $10 billion and exceeded the company’s ability to get the needed financing.
In an interview, Alfred Sorensen, president and CEO, said the company will now retrench and look at alternatives which could include seeking ways to reduce costs, scaling down the project or finding a partner, which has proven impossible to date.
“The latest estimate was well over [$10 billion]. So it was materially different from what we were able to finance,” he said, although he did not offer a dollar figure from the new cost estimate.
“The whole commodity cycle right now is what it is. Everything coming out of this COVID thing — everything from cement to steel to copper — every major commodity you need to build one of these things are at historical highs,” Sorensen added.
“So we weren’t completely surprised that it came in at that price. The only part that’s kind of hard to figure out is our competitors continue to be under $1,000 a tonne. The part that’s really hard to understand is aren’t we all buying copper and steel in the same market place? But that’s what we have to do — we have to find a cheaper solution and one that Pieridae can finance.”
Attempts to secure a partner in the Goldboro project have not been successful and Pieridae’s lack of girth combined with the increased cost estimate forced the company to pause its efforts to move the project forward.
“I think we’ve known from the very beginning that Pieridae wasn’t big enough to pull this off. And as we went down the path of developing this project we always kind of hoped that we would get to find a partner. That just really hasn’t happened,” Sorensen said.
“Ever the optimists, we decided to continue to push forward and decided to go all the way to FID — or near FID — and a cost structure that was saleable. Unfortunately, that didn’t happen. When we got our [latest] estimate it was really obvious that we were not able to get our costs under $1,000 a tonne,” he added.
“If you look at some of the other projects on the Gulf Coast that we basically compete against for capital, they’re all sub-$1,000 a tonne. Without a partner Pieridae didn’t have the capability to raise $10 billion plus in capital. So that’s why we put the project a little bit on hold right now and we’re looking at if we could either reduce costs … or focus on a smaller project versus the size it is right now.”
 
 
 
","Friday, July 2, 2021, 5:38 AM MDT",Paul Wells
"New Project Cost Estimate, Access To Equity Will Determine Goldboro FID, Says Pieridae CEO | Daily Oil Bulletin ","
This is the first article in a series about various LNG projects running this week. 

Pieridae Energy Limited is in the homestretch in making its final investment decision (FID) on its East Coast Goldboro LNG project as the company is awaiting an updated cost estimate and continues to seek equity partners, says CEO Alfred Sorensen.
Engineering firm Bechtel Corp. planned to deliver a fixed-price proposal to build the plant by the end of May. The last cost estimate, conducted in 2016, pegged the price tag at $10 billion. Sorensen said FID is expected by the end of June.
“The big thing that is going to determine the FID decision is really kind of down to the final construction costs. We expect to receive that shortly from Bechtel. So that is the key thing. We got a preliminary number at the end of March and we have some work to do on that,” Sorensen said in an interview, adding the company is still looking for a number that lands in the $10 billion range.
“Assuming we get the number we’re looking for that we think is financeable and brings the returns that we need, our intended goal right now is to get to FID by the end of June. But that’s very much dependent on what that final construction cost number is,” he added.
“And secondly, we are quite focused on the equity raise right now and where the equity is going to come from to build the facility. We’ve seen some stuff that was leaked out of Nova Scotia, but we continue to kind of work on the equity angle. And those two things [project costs and the equity raise] are kind of coming together around the same time and they are the last two remaining hurdles to get to FID.”
The “leak” Sorensen referred to is in reference to media reports in mid-March that Pieridae had asked the Canadian federal government for $925 million in grants, loans, or loan guarantees to jumpstart the project. The CEO did confirm to the DOB that the company “approached” the federal government last year but did not offer further details.
One such media account, published by the CBC, said details of Pieridae Energy's apparent plan to request the money are contained in a PowerPoint presentation dated Dec. 16, 2020, that was leaked to an environmental group last month.
""This is a pivotal meeting today,"" reads one of the slides from the presentation materials. ""We hope to have a roadmap toward defining federal and provincial government financial support.
""Due to COVID and the inability to raise funds in the current state of energy markets in Canada and the U.S., government financial support is critical to moving the project forward.""
According to the CBC, a few slides later came the pitch: $925 million as a grant, repayable contribution or loan guarantee, broken down into staggered payments tied to pre-determined milestones.
At the time, Pieridae spokesperson James Millar told Canada’s national broadcaster the he couldn’t confirm the validity of the document. But in an interview, he touched on many points raised in the PowerPoint slides.
Millar confirmed the company was in talks with the federal government about financial support.
""But since we're in negotiations, I can't speak to details on any dollar amount,"" he said.
Goldboro is designed to produce about 10 million tonnes per annum (mtpa). Pieridae plans to source the gas for Goldboro from its production in Alberta and transport it via existing pipelines, including the Maritimes & Northeast Pipeline from New England to New Brunswick and Nova Scotia, which passes near the Goldboro site.
Pieridae has a 20-year agreement to sell all the LNG from Goldboro's first liquefaction train  ––  about five million mtpa or 0.66 bcf/d natural gas –– to German utility Uniper SE. If FID is positive, first LNG is expected in 2025-2026 timeframe.
Equity raise, prices impacted by COVID
Sorensen said that although equity-raising efforts have been somewhat hampered since the pandemic took hold, he remains optimistic that the company will be able to secure the needed financing.
“So far, it’s been going OK. COVID has made things harder because you can’t travel and we can’t meet face-to-face. So it’s a little harder to do a negotiation over Zoom or Teams or whatever.”
European natural gas pricing was also affected by the pandemic as demand slowed and prices fell. But that dynamic is improving, according to Sorensen.
“I would say that the last year has been difficult mainly because pricing was affected significantly by COVID. And now that we’re coming out the other side of it, you feel this pent up demand for commodities,” he said.
“I think the one thing is, if you’re looking at what makes our project work, it is sort of an $8.25 to $8.50 … price in Europe. And we continue to see price moving in that direction. There was good winter pricing. Summer pricing has come off but not nearly as much as you might think.”
Sorensen noted that the Goldboro project was “designed around the idea” that global natural gas pricing was “heading towards a more transparent, convergent natural gas price.”
And he believes there are signs of that occurring.
“I think the one thing that has now happened with COVID  ––  you might see some difference in timing between the Asian and European prices  ––  is they’ve certainly converged very quickly. Outside of a weather event, it’s kind of no different than in North America. In February when everything went to heck in a hand basket in the central part of the U.S. you had $300 natural gas there and $2 here,” Sorensen said.
“So things in natural gas [pricing] are always going to be a weather-related event, but the long-term pricing scenario  ––  whether you go to Asia or you go to Europe  ––  you’re going to get the same price on a long-term basis. So that part was always a part of our thesis on why it makes sense to build an LNG terminal on the East Coast of Canada because you didn’t have to go to Asia to get the highest price because the price would be the same,” he added.
“And I think that real-life fundamental has really crystallized significantly over the last year. And certainly, coming out of COVID we see, I think, a positive move toward where pricing needs to be to make our project work.”
And, according to Sorensen, that will play a vital role in determining the Goldboro project’s potential economic viability on a go-forward basis.
“This is why the final construction price tag will be interesting  ––  to see what it is  ––  because there has been a lot of pressure on commodities. We know about that when we’re talking about energy prices, but it’s also certainly important when you look at construction inputs, whether it’s lumber to build a house or steel to build an LNG project. They’ve all gone up significantly,” he said.
“It will be interesting to see if we can hold our $10-billion line. There are pluses and minuses and that’s what we’re working on right now.”
A different environment since last cost estimate
Sorensen said much has changed since Pieridae received its initial $10 billion cost estimate in 2016.
“The commodity market has changed a lot since our last estimate was done. The project originally kind of got off to a very good, fast start. We found a customer, we got the environmental processes done relatively successfully and that left nothing but pricing issues of either crude oil or natural gas,” he said.
“And certainly by the [2019 period] we saw gas prices so low here that attracting new investment was virtually impossible. And that’s really why we approached the Government of Canada last year. It was because  ––  and I’m a taxpayer, too, and I don’t have any interest in seeing our government funding business  –– but our scenario was kind of ‘do we keep the project alive or do we kill it?’
“And regardless of what happens there, the equity side of our story is also a big part of our FID decision. And that’s why there is a timing difference between the end of May [when the revised cost estimate is expected] and the end of June. We roughly have 30 days to wrap up the equity side of it.”
The bigger picture: LNG market ‘starting to change’
Sorensen noted that, on a global scale, the LNG industry was likely permanently altered because of the pandemic as many proposed greenfield projects fell by the wayside, including Chevron Corporation’s announcement in March that it will cease further company-funded feasibility work for the Kitimat LNG project.
“I think if you take a world view there are many projects that have been cancelled during the COVID process. And I think you’ve even seen in North America that many projects have already disappeared. I think that is the market. I do think the market is starting to change,” he said.
But not necessarily, he added, in an entirely negative fashion. Especially for already entrenched projects capable of executing brownfield expansions, at some point, to existing facilities.
“I actually had a call just recently from a very large European utility that really showed no interest in our project before. They actually called us to see how they might be able to get involved with us and our project,” Sorensen said.
“So I think the market is changing, which is important whether it’s Kitimat or it’s Rockies LNG or if it’s anyone else. Without a market it’s going to be hard to get those projects over the line. I think you’ve seen that with the [Woodside Petroleum Limited]-Chevron project: that it’s all about market,” he added.
“And I think the fact that Chevron and Woodside are also partners in Australia, I think that they are probably finding now that it’s probably easier to do a brownfield expansion in Australia than to build a greenfield in Canada. And I think that’s why, if market demand continues to grow, it will go first to LNG Canada before it will go to a new project, in my view.”
And Sorensen said that logic could also eventually apply to Pieridae and the Goldboro project.
“That’s because we have an anchor with Uniper. And you see that because that’s why people are calling us now. That’s because Mozambique looks like it might fall over and it was supposed to be the new LNG nirvana. The Gulf Coast is probably maxed out,” he said.
“There really isn’t any new projects coming on in that 2025-26 period now because we’ve gone two years  ––  or maybe closer to three  ––  with no FID. And the market is going to be short because it will be more and more into natural gas.”
","Monday, June 7, 2021, 12 AM MDT",Paul Wells
Sabine 6 LNG Export Unit Moves Closer To Entering Service | Daily Oil Bulletin ,"
(Reuters) — U.S. energy regulators on Wednesday gave Cheniere Energy Inc. permission to introduce feedgas to commission parts of the sixth liquefaction train at the company’s Sabine Pass LNG export plant in Louisiana.
The U.S. Federal Energy Regulatory Commission (FERC) approval was in response to Cheniere’s Sept. 15 request. Feedgas is the natural gas from pipelines that the plant will turn into LNG.
Cheniere has said it expects Train 6 will enter commercial service in early 2022, but analysts note the unit will likely start producing LNG in test mode later this year.
Cheniere is the biggest LNG exporter in the United States and is also the country’s biggest buyer of natural gas.
In addition to Sabine, which will have the capacity to produce around 30 million tonnes per annum (MTPA) of LNG once Train 6 enters service, Cheniere also owns the three-train, 15-MTPA Corpus Christi LNG export plant in Texas.
","Thursday, September 23, 2021, 6:45 AM MDT", 
